count,value
53779,Computer Science
42251,Engineering
31196,Artificial Intelligence (incl. Robotics)
22067,Medicine & Public Health
18548,Computer Communication Networks
15613,Computational Intelligence
13137,Data Mining and Knowledge Discovery
11561,Image Processing and Computer Vision
10642,Information Systems Applications (incl. Internet)
9084,Business and Management
8933,"Communications Engineering, Networks"
7986,User Interfaces and Human Computer Interaction
7352,Special Purpose and Application-Based Systems
7323,Life Sciences
7217,Education
7214,Mathematics
7075,Systems and Data Security
6012,Social Sciences
5943,Physics
5902,Biomedicine
